"CONTA_SUPERIOR","CLASSE_CONTABIL","BK_CONTA11","BK_CONTA10","BK_CONTA9","BK_CONTA8","BK_CONTA7","BK_CONTA6","BK_CONTA5","BK_CONTA4","BK_CONTA3","BK_CONTA2","BK_CONTA1","CT1_DESC01_11","CT1_DESC01_10","CT1_DESC01_9","CT1_DESC01_8","CT1_DESC01_7","CT1_DESC01_6","CT1_DESC01_5","CT1_DESC01_4","CT1_DESC01_3","CT1_DESC01_2","CT1_DESC01_1","CT1_CONTA_11","CT1_CONTA_10","CT1_CONTA_9","CT1_CONTA_8","CT1_CONTA_7","CT1_CONTA_6","CT1_CONTA_5","CT1_CONTA_4","CT1_CONTA_3","CT1_CONTA_2","CT1_CONTA_1","BK_AK5_CODIGO5"
"11028               ","2","P |01|CT1200||11028011","P |01|CT1200||11028011","P |01|CT1200||11028011","P |01|CT1200||11028011","P |01|CT1200||11028011","P |01|CT1200||11028011","P |01|CT1200||11028011","P |01|CT1200||11028","P |01|CT1200||1102","P |01|CT1200||11","P |01|CT1200||1","LUIS RICARDO CISNEIRO                   ","LUIS RICARDO CISNEIRO                   ","LUIS RICARDO CISNEIRO                   ","LUIS RICARDO CISNEIRO                   ","LUIS RICARDO CISNEIRO                   ","LUIS RICARDO CISNEIRO                   ","LUIS RICARDO CISNEIRO                   ","ADIANTAMENTO DISTRIBUICAO LUCROS        ","REALIZAVEIS DE CURTO PRAZO              ","ATIVO CIRCULANTE                        ","ATIVO                                   ","11028011            ","11028011            ","11028011            ","11028011            ","11028011            ","11028011            ","11028011            ","11028               ","1102                ","11                  ","1                   ","P |01|AK5200||"
"11028               ","2","P |01|CT1200||11028012","P |01|CT1200||11028012","P |01|CT1200||11028012","P |01|CT1200||11028012","P |01|CT1200||11028012","P |01|CT1200||11028012","P |01|CT1200||11028012","P |01|CT1200||11028","P |01|CT1200||1102","P |01|CT1200||11","P |01|CT1200||1","EMERSON WAGNER                          ","EMERSON WAGNER                          ","EMERSON WAGNER                          ","EMERSON WAGNER                          ","EMERSON WAGNER                          ","EMERSON WAGNER                          ","EMERSON WAGNER                          ","ADIANTAMENTO DISTRIBUICAO LUCROS        ","REALIZAVEIS DE CURTO PRAZO              ","ATIVO CIRCULANTE                        ","ATIVO                                   ","11028012            ","11028012            ","11028012            ","11028012            ","11028012            ","11028012            ","11028012            ","11028               ","1102                ","11                  ","1                   ","P |01|AK5200||"
"11028               ","2","P |01|CT1200||11028013","P |01|CT1200||11028013","P |01|CT1200||11028013","P |01|CT1200||11028013","P |01|CT1200||11028013","P |01|CT1200||11028013","P |01|CT1200||11028013","P |01|CT1200||11028","P |01|CT1200||1102","P |01|CT1200||11","P |01|CT1200||1","VALTER JOSE BELTRAME                    ","VALTER JOSE BELTRAME                    ","VALTER JOSE BELTRAME                    ","VALTER JOSE BELTRAME                    ","VALTER JOSE BELTRAME                    ","VALTER JOSE BELTRAME                    ","VALTER JOSE BELTRAME                    ","ADIANTAMENTO DISTRIBUICAO LUCROS        ","REALIZAVEIS DE CURTO PRAZO              ","ATIVO CIRCULANTE                        ","ATIVO                                   ","11028013            ","11028013            ","11028013            ","11028013            ","11028013            ","11028013            ","11028013            ","11028               ","1102                ","11                  ","1                   ","P |01|AK5200||"
"11028               ","2","P |01|CT1200||11028014","P |01|CT1200||11028014","P |01|CT1200||11028014","P |01|CT1200||11028014","P |01|CT1200||11028014","P |01|CT1200||11028014","P |01|CT1200||11028014","P |01|CT1200||11028","P |01|CT1200||1102","P |01|CT1200||11","P |01|CT1200||1","ALESSANDRO CHAVES PERALTA               ","ALESSANDRO CHAVES PERALTA               ","ALESSANDRO CHAVES PERALTA               ","ALESSANDRO CHAVES PERALTA               ","ALESSANDRO CHAVES PERALTA               ","ALESSANDRO CHAVES PERALTA               ","ALESSANDRO CHAVES PERALTA               ","ADIANTAMENTO DISTRIBUICAO LUCROS        ","REALIZAVEIS DE CURTO PRAZO              ","ATIVO CIRCULANTE                        ","ATIVO                                   ","11028014            ","11028014            ","11028014            ","11028014            ","11028014            ","11028014            ","11028014            ","11028               ","1102                ","11                  ","1                   ","P |01|AK5200||"
"11028               ","2","P |01|CT1200||11028015","P |01|CT1200||11028015","P |01|CT1200||11028015","P |01|CT1200||11028015","P |01|CT1200||11028015","P |01|CT1200||11028015","P |01|CT1200||11028015","P |01|CT1200||11028","P |01|CT1200||1102","P |01|CT1200||11","P |01|CT1200||1","RODRIGO OLIVEIRA BRITO                  ","RODRIGO OLIVEIRA BRITO                  ","RODRIGO OLIVEIRA BRITO                  ","RODRIGO OLIVEIRA BRITO                  ","RODRIGO OLIVEIRA BRITO                  ","RODRIGO OLIVEIRA BRITO                  ","RODRIGO OLIVEIRA BRITO                  ","ADIANTAMENTO DISTRIBUICAO LUCROS        ","REALIZAVEIS DE CURTO PRAZO              ","ATIVO CIRCULANTE                        ","ATIVO                                   ","11028015            ","11028015            ","11028015            ","11028015            ","11028015            ","11028015            ","11028015            ","11028               ","1102                ","11                  ","1                   ","P |01|AK5200||"
"11028               ","2","P |01|CT1200||11028016","P |01|CT1200||11028016","P |01|CT1200||11028016","P |01|CT1200||11028016","P |01|CT1200||11028016","P |01|CT1200||11028016","P |01|CT1200||11028016","P |01|CT1200||11028","P |01|CT1200||1102","P |01|CT1200||11","P |01|CT1200||1","ADERSON PAIS DE ARRUDA                  ","ADERSON PAIS DE ARRUDA                  ","ADERSON PAIS DE ARRUDA                  ","ADERSON PAIS DE ARRUDA                  ","ADERSON PAIS DE ARRUDA                  ","ADERSON PAIS DE ARRUDA                  ","ADERSON PAIS DE ARRUDA                  ","ADIANTAMENTO DISTRIBUICAO LUCROS        ","REALIZAVEIS DE CURTO PRAZO              ","ATIVO CIRCULANTE                        ","ATIVO                                   ","11028016            ","11028016            ","11028016            ","11028016            ","11028016            ","11028016            ","11028016            ","11028               ","1102                ","11                  ","1                   ","P |01|AK5200||"
"11028               ","2","P |01|CT1200||11028017","P |01|CT1200||11028017","P |01|CT1200||11028017","P |01|CT1200||11028017","P |01|CT1200||11028017","P |01|CT1200||11028017","P |01|CT1200||11028017","P |01|CT1200||11028","P |01|CT1200||1102","P |01|CT1200||11","P |01|CT1200||1","FERNANDO EDUARDO NAPPI                  ","FERNANDO EDUARDO NAPPI                  ","FERNANDO EDUARDO NAPPI                  ","FERNANDO EDUARDO NAPPI                  ","FERNANDO EDUARDO NAPPI                  ","FERNANDO EDUARDO NAPPI                  ","FERNANDO EDUARDO NAPPI                  ","ADIANTAMENTO DISTRIBUICAO LUCROS        ","REALIZAVEIS DE CURTO PRAZO              ","ATIVO CIRCULANTE                        ","ATIVO                                   ","11028017            ","11028017            ","11028017            ","11028017            ","11028017            ","11028017            ","11028017            ","11028               ","1102                ","11                  ","1                   ","P |01|AK5200||"
"11028               ","2","P |01|CT1200||11028018","P |01|CT1200||11028018","P |01|CT1200||11028018","P |01|CT1200||11028018","P |01|CT1200||11028018","P |01|CT1200||11028018","P |01|CT1200||11028018","P |01|CT1200||11028","P |01|CT1200||1102","P |01|CT1200||11","P |01|CT1200||1","ACTVS REPRESENTACAO LTDA                ","ACTVS REPRESENTACAO LTDA                ","ACTVS REPRESENTACAO LTDA                ","ACTVS REPRESENTACAO LTDA                ","ACTVS REPRESENTACAO LTDA                ","ACTVS REPRESENTACAO LTDA                ","ACTVS REPRESENTACAO LTDA                ","ADIANTAMENTO DISTRIBUICAO LUCROS        ","REALIZAVEIS DE CURTO PRAZO              ","ATIVO CIRCULANTE                        ","ATIVO                                   ","11028018            ","11028018            ","11028018            ","11028018            ","11028018            ","11028018            ","11028018            ","11028               ","1102                ","11                  ","1                   ","P |01|AK5200||"
"11029               ","2","P |01|CT1200||11029001","P |01|CT1200||11029001","P |01|CT1200||11029001","P |01|CT1200||11029001","P |01|CT1200||11029001","P |01|CT1200||11029001","P |01|CT1200||11029001","P |01|CT1200||11029","P |01|CT1200||1102","P |01|CT1200||11","P |01|CT1200||1","TRANSFERENCIAS RECURSOS MATRIZ/FILIAIS  ","TRANSFERENCIAS RECURSOS MATRIZ/FILIAIS  ","TRANSFERENCIAS RECURSOS MATRIZ/FILIAIS  ","TRANSFERENCIAS RECURSOS MATRIZ/FILIAIS  ","TRANSFERENCIAS RECURSOS MATRIZ/FILIAIS  ","TRANSFERENCIAS RECURSOS MATRIZ/FILIAIS  ","TRANSFERENCIAS RECURSOS MATRIZ/FILIAIS  ","CONTAS TRANSITORIAS                     ","REALIZAVEIS DE CURTO PRAZO              ","ATIVO CIRCULANTE                        ","ATIVO                                   ","11029001            ","11029001            ","11029001            ","11029001            ","11029001            ","11029001            ","11029001            ","11029               ","1102                ","11                  ","1                   ","P |01|AK5200||"
"12                  ","1","P |01|CT1200||1201","P |01|CT1200||1201","P |01|CT1200||1201","P |01|CT1200||1201","P |01|CT1200||1201","P |01|CT1200||1201","P |01|CT1200||1201","P |01|CT1200||1201","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","1201                ","1201                ","1201                ","1201                ","1201                ","1201                ","1201                ","1201                ","1201                ","12                  ","1                   ","P |01|AK5200||"
"12                  ","1","P |01|CT1200||12020","P |01|CT1200||12020","P |01|CT1200||12020","P |01|CT1200||12020","P |01|CT1200||12020","P |01|CT1200||12020","P |01|CT1200||12020","P |01|CT1200||12020","P |01|CT1200||12020","P |01|CT1200||12","P |01|CT1200||1","IMOBILIZADO EM ANDAMENTO                ","IMOBILIZADO EM ANDAMENTO                ","IMOBILIZADO EM ANDAMENTO                ","IMOBILIZADO EM ANDAMENTO                ","IMOBILIZADO EM ANDAMENTO                ","IMOBILIZADO EM ANDAMENTO                ","IMOBILIZADO EM ANDAMENTO                ","IMOBILIZADO EM ANDAMENTO                ","IMOBILIZADO EM ANDAMENTO                ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12020               ","12020               ","12020               ","12020               ","12020               ","12020               ","12020               ","12020               ","12020               ","12                  ","1                   ","P |01|AK5200||"
"12                  ","1","P |01|CT1200||12021","P |01|CT1200||12021","P |01|CT1200||12021","P |01|CT1200||12021","P |01|CT1200||12021","P |01|CT1200||12021","P |01|CT1200||12021","P |01|CT1200||12021","P |01|CT1200||12021","P |01|CT1200||12","P |01|CT1200||1","AGIO AQUISICAO DE INVESTIMENTOS         ","AGIO AQUISICAO DE INVESTIMENTOS         ","AGIO AQUISICAO DE INVESTIMENTOS         ","AGIO AQUISICAO DE INVESTIMENTOS         ","AGIO AQUISICAO DE INVESTIMENTOS         ","AGIO AQUISICAO DE INVESTIMENTOS         ","AGIO AQUISICAO DE INVESTIMENTOS         ","AGIO AQUISICAO DE INVESTIMENTOS         ","AGIO AQUISICAO DE INVESTIMENTOS         ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12021               ","12021               ","12021               ","12021               ","12021               ","12021               ","12021               ","12021               ","12021               ","12                  ","1                   ","P |01|AK5200||"
"1201                ","1","P |01|CT1200||12011","P |01|CT1200||12011","P |01|CT1200||12011","P |01|CT1200||12011","P |01|CT1200||12011","P |01|CT1200||12011","P |01|CT1200||12011","P |01|CT1200||12011","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","OUTROS VALORES A RECEBER LONGO PRAZO    ","OUTROS VALORES A RECEBER LONGO PRAZO    ","OUTROS VALORES A RECEBER LONGO PRAZO    ","OUTROS VALORES A RECEBER LONGO PRAZO    ","OUTROS VALORES A RECEBER LONGO PRAZO    ","OUTROS VALORES A RECEBER LONGO PRAZO    ","OUTROS VALORES A RECEBER LONGO PRAZO    ","OUTROS VALORES A RECEBER LONGO PRAZO    ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12011               ","12011               ","12011               ","12011               ","12011               ","12011               ","12011               ","12011               ","1201                ","12                  ","1                   ","P |01|AK5200||"
"1201                ","1","P |01|CT1200||12012","P |01|CT1200||12012","P |01|CT1200||12012","P |01|CT1200||12012","P |01|CT1200||12012","P |01|CT1200||12012","P |01|CT1200||12012","P |01|CT1200||12012","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","EMPRESTIMOS/MUTUOS                      ","EMPRESTIMOS/MUTUOS                      ","EMPRESTIMOS/MUTUOS                      ","EMPRESTIMOS/MUTUOS                      ","EMPRESTIMOS/MUTUOS                      ","EMPRESTIMOS/MUTUOS                      ","EMPRESTIMOS/MUTUOS                      ","EMPRESTIMOS/MUTUOS                      ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12012               ","12012               ","12012               ","12012               ","12012               ","12012               ","12012               ","12012               ","1201                ","12                  ","1                   ","P |01|AK5200||"
"1201                ","1","P |01|CT1200||12013","P |01|CT1200||12013","P |01|CT1200||12013","P |01|CT1200||12013","P |01|CT1200||12013","P |01|CT1200||12013","P |01|CT1200||12013","P |01|CT1200||12013","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","INVESTIMENTOS                           ","INVESTIMENTOS                           ","INVESTIMENTOS                           ","INVESTIMENTOS                           ","INVESTIMENTOS                           ","INVESTIMENTOS                           ","INVESTIMENTOS                           ","INVESTIMENTOS                           ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12013               ","12013               ","12013               ","12013               ","12013               ","12013               ","12013               ","12013               ","1201                ","12                  ","1                   ","P |01|AK5200||"
"1201                ","1","P |01|CT1200||12014","P |01|CT1200||12014","P |01|CT1200||12014","P |01|CT1200||12014","P |01|CT1200||12014","P |01|CT1200||12014","P |01|CT1200||12014","P |01|CT1200||12014","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","INTANGIVEL                              ","INTANGIVEL                              ","INTANGIVEL                              ","INTANGIVEL                              ","INTANGIVEL                              ","INTANGIVEL                              ","INTANGIVEL                              ","INTANGIVEL                              ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12014               ","12014               ","12014               ","12014               ","12014               ","12014               ","12014               ","12014               ","1201                ","12                  ","1                   ","P |01|AK5200||"
"1201                ","1","P |01|CT1200||12015","P |01|CT1200||12015","P |01|CT1200||12015","P |01|CT1200||12015","P |01|CT1200||12015","P |01|CT1200||12015","P |01|CT1200||12015","P |01|CT1200||12015","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","AMORTIZACAO DO INTANGIVEL               ","AMORTIZACAO DO INTANGIVEL               ","AMORTIZACAO DO INTANGIVEL               ","AMORTIZACAO DO INTANGIVEL               ","AMORTIZACAO DO INTANGIVEL               ","AMORTIZACAO DO INTANGIVEL               ","AMORTIZACAO DO INTANGIVEL               ","AMORTIZACAO DO INTANGIVEL               ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12015               ","12015               ","12015               ","12015               ","12015               ","12015               ","12015               ","12015               ","1201                ","12                  ","1                   ","P |01|AK5200||"
"1201                ","1","P |01|CT1200||12016","P |01|CT1200||12016","P |01|CT1200||12016","P |01|CT1200||12016","P |01|CT1200||12016","P |01|CT1200||12016","P |01|CT1200||12016","P |01|CT1200||12016","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","IMOBILIZADO                             ","IMOBILIZADO                             ","IMOBILIZADO                             ","IMOBILIZADO                             ","IMOBILIZADO                             ","IMOBILIZADO                             ","IMOBILIZADO                             ","IMOBILIZADO                             ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12016               ","12016               ","12016               ","12016               ","12016               ","12016               ","12016               ","12016               ","1201                ","12                  ","1                   ","P |01|AK5200||"
"1201                ","1","P |01|CT1200||12017","P |01|CT1200||12017","P |01|CT1200||12017","P |01|CT1200||12017","P |01|CT1200||12017","P |01|CT1200||12017","P |01|CT1200||12017","P |01|CT1200||12017","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","IMOBILIZACOES TECNICAS INTANGIVEIS      ","IMOBILIZACOES TECNICAS INTANGIVEIS      ","IMOBILIZACOES TECNICAS INTANGIVEIS      ","IMOBILIZACOES TECNICAS INTANGIVEIS      ","IMOBILIZACOES TECNICAS INTANGIVEIS      ","IMOBILIZACOES TECNICAS INTANGIVEIS      ","IMOBILIZACOES TECNICAS INTANGIVEIS      ","IMOBILIZACOES TECNICAS INTANGIVEIS      ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12017               ","12017               ","12017               ","12017               ","12017               ","12017               ","12017               ","12017               ","1201                ","12                  ","1                   ","P |01|AK5200||"
"1201                ","1","P |01|CT1200||12018","P |01|CT1200||12018","P |01|CT1200||12018","P |01|CT1200||12018","P |01|CT1200||12018","P |01|CT1200||12018","P |01|CT1200||12018","P |01|CT1200||12018","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","DEPRECIACOES ACUMULADAS                 ","DEPRECIACOES ACUMULADAS                 ","DEPRECIACOES ACUMULADAS                 ","DEPRECIACOES ACUMULADAS                 ","DEPRECIACOES ACUMULADAS                 ","DEPRECIACOES ACUMULADAS                 ","DEPRECIACOES ACUMULADAS                 ","DEPRECIACOES ACUMULADAS                 ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12018               ","12018               ","12018               ","12018               ","12018               ","12018               ","12018               ","12018               ","1201                ","12                  ","1                   ","P |01|AK5200||"
"1201                ","1","P |01|CT1200||12019","P |01|CT1200||12019","P |01|CT1200||12019","P |01|CT1200||12019","P |01|CT1200||12019","P |01|CT1200||12019","P |01|CT1200||12019","P |01|CT1200||12019","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","C/CORRENTES - FILIAIS                   ","C/CORRENTES - FILIAIS                   ","C/CORRENTES - FILIAIS                   ","C/CORRENTES - FILIAIS                   ","C/CORRENTES - FILIAIS                   ","C/CORRENTES - FILIAIS                   ","C/CORRENTES - FILIAIS                   ","C/CORRENTES - FILIAIS                   ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12019               ","12019               ","12019               ","12019               ","12019               ","12019               ","12019               ","12019               ","1201                ","12                  ","1                   ","P |01|AK5200||"
"12012               ","2","P |01|CT1200||12012001","P |01|CT1200||12012001","P |01|CT1200||12012001","P |01|CT1200||12012001","P |01|CT1200||12012001","P |01|CT1200||12012001","P |01|CT1200||12012001","P |01|CT1200||12012","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","EMPRESTIMO AO SOCIO WILSON WAVIER       ","EMPRESTIMO AO SOCIO WILSON WAVIER       ","EMPRESTIMO AO SOCIO WILSON WAVIER       ","EMPRESTIMO AO SOCIO WILSON WAVIER       ","EMPRESTIMO AO SOCIO WILSON WAVIER       ","EMPRESTIMO AO SOCIO WILSON WAVIER       ","EMPRESTIMO AO SOCIO WILSON WAVIER       ","EMPRESTIMOS/MUTUOS                      ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12012001            ","12012001            ","12012001            ","12012001            ","12012001            ","12012001            ","12012001            ","12012               ","1201                ","12                  ","1                   ","P |01|AK5200||"
"12012               ","2","P |01|CT1200||12012002","P |01|CT1200||12012002","P |01|CT1200||12012002","P |01|CT1200||12012002","P |01|CT1200||12012002","P |01|CT1200||12012002","P |01|CT1200||12012002","P |01|CT1200||12012","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","EMPRESTIMO AO SOCIO LUIS RICARDO CISNEIR","EMPRESTIMO AO SOCIO LUIS RICARDO CISNEIR","EMPRESTIMO AO SOCIO LUIS RICARDO CISNEIR","EMPRESTIMO AO SOCIO LUIS RICARDO CISNEIR","EMPRESTIMO AO SOCIO LUIS RICARDO CISNEIR","EMPRESTIMO AO SOCIO LUIS RICARDO CISNEIR","EMPRESTIMO AO SOCIO LUIS RICARDO CISNEIR","EMPRESTIMOS/MUTUOS                      ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12012002            ","12012002            ","12012002            ","12012002            ","12012002            ","12012002            ","12012002            ","12012               ","1201                ","12                  ","1                   ","P |01|AK5200||"
"12012               ","2","P |01|CT1200||12012003","P |01|CT1200||12012003","P |01|CT1200||12012003","P |01|CT1200||12012003","P |01|CT1200||12012003","P |01|CT1200||12012003","P |01|CT1200||12012003","P |01|CT1200||12012","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","MUTUO WAYUP SJRP X WAYUP SERVICOS       ","MUTUO WAYUP SJRP X WAYUP SERVICOS       ","MUTUO WAYUP SJRP X WAYUP SERVICOS       ","MUTUO WAYUP SJRP X WAYUP SERVICOS       ","MUTUO WAYUP SJRP X WAYUP SERVICOS       ","MUTUO WAYUP SJRP X WAYUP SERVICOS       ","MUTUO WAYUP SJRP X WAYUP SERVICOS       ","EMPRESTIMOS/MUTUOS                      ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12012003            ","12012003            ","12012003            ","12012003            ","12012003            ","12012003            ","12012003            ","12012               ","1201                ","12                  ","1                   ","P |01|AK5200||"
"12012               ","2","P |01|CT1200||12012004","P |01|CT1200||12012004","P |01|CT1200||12012004","P |01|CT1200||12012004","P |01|CT1200||12012004","P |01|CT1200||12012004","P |01|CT1200||12012004","P |01|CT1200||12012","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","MUTUO WAYUP TECNOLOGIA X SJRP           ","MUTUO WAYUP TECNOLOGIA X SJRP           ","MUTUO WAYUP TECNOLOGIA X SJRP           ","MUTUO WAYUP TECNOLOGIA X SJRP           ","MUTUO WAYUP TECNOLOGIA X SJRP           ","MUTUO WAYUP TECNOLOGIA X SJRP           ","MUTUO WAYUP TECNOLOGIA X SJRP           ","EMPRESTIMOS/MUTUOS                      ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12012004            ","12012004            ","12012004            ","12012004            ","12012004            ","12012004            ","12012004            ","12012               ","1201                ","12                  ","1                   ","P |01|AK5200||"
"12012               ","2","P |01|CT1200||12012005","P |01|CT1200||12012005","P |01|CT1200||12012005","P |01|CT1200||12012005","P |01|CT1200||12012005","P |01|CT1200||12012005","P |01|CT1200||12012005","P |01|CT1200||12012","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","MUTUO INNOVARE X WAYUP SERVICOS         ","MUTUO INNOVARE X WAYUP SERVICOS         ","MUTUO INNOVARE X WAYUP SERVICOS         ","MUTUO INNOVARE X WAYUP SERVICOS         ","MUTUO INNOVARE X WAYUP SERVICOS         ","MUTUO INNOVARE X WAYUP SERVICOS         ","MUTUO INNOVARE X WAYUP SERVICOS         ","EMPRESTIMOS/MUTUOS                      ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12012005            ","12012005            ","12012005            ","12012005            ","12012005            ","12012005            ","12012005            ","12012               ","1201                ","12                  ","1                   ","P |01|AK5200||"
"12012               ","2","P |01|CT1200||12012006","P |01|CT1200||12012006","P |01|CT1200||12012006","P |01|CT1200||12012006","P |01|CT1200||12012006","P |01|CT1200||12012006","P |01|CT1200||12012006","P |01|CT1200||12012","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","MUTUO WAYUP SJRP X WAYUP TECNOLOGIA     ","MUTUO WAYUP SJRP X WAYUP TECNOLOGIA     ","MUTUO WAYUP SJRP X WAYUP TECNOLOGIA     ","MUTUO WAYUP SJRP X WAYUP TECNOLOGIA     ","MUTUO WAYUP SJRP X WAYUP TECNOLOGIA     ","MUTUO WAYUP SJRP X WAYUP TECNOLOGIA     ","MUTUO WAYUP SJRP X WAYUP TECNOLOGIA     ","EMPRESTIMOS/MUTUOS                      ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12012006            ","12012006            ","12012006            ","12012006            ","12012006            ","12012006            ","12012006            ","12012               ","1201                ","12                  ","1                   ","P |01|AK5200||"
"12012               ","2","P |01|CT1200||12012007","P |01|CT1200||12012007","P |01|CT1200||12012007","P |01|CT1200||12012007","P |01|CT1200||12012007","P |01|CT1200||12012007","P |01|CT1200||12012007","P |01|CT1200||12012","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","MUTUO ML X WAYUP SJRP                   ","MUTUO ML X WAYUP SJRP                   ","MUTUO ML X WAYUP SJRP                   ","MUTUO ML X WAYUP SJRP                   ","MUTUO ML X WAYUP SJRP                   ","MUTUO ML X WAYUP SJRP                   ","MUTUO ML X WAYUP SJRP                   ","EMPRESTIMOS/MUTUOS                      ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12012007            ","12012007            ","12012007            ","12012007            ","12012007            ","12012007            ","12012007            ","12012               ","1201                ","12                  ","1                   ","P |01|AK5200||"
"12012               ","2","P |01|CT1200||12012008","P |01|CT1200||12012008","P |01|CT1200||12012008","P |01|CT1200||12012008","P |01|CT1200||12012008","P |01|CT1200||12012008","P |01|CT1200||12012008","P |01|CT1200||12012","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","MUTUO WAYUP SJRP X JOBS                 ","MUTUO WAYUP SJRP X JOBS                 ","MUTUO WAYUP SJRP X JOBS                 ","MUTUO WAYUP SJRP X JOBS                 ","MUTUO WAYUP SJRP X JOBS                 ","MUTUO WAYUP SJRP X JOBS                 ","MUTUO WAYUP SJRP X JOBS                 ","EMPRESTIMOS/MUTUOS                      ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12012008            ","12012008            ","12012008            ","12012008            ","12012008            ","12012008            ","12012008            ","12012               ","1201                ","12                  ","1                   ","P |01|AK5200||"
"12012               ","2","P |01|CT1200||12012009","P |01|CT1200||12012009","P |01|CT1200||12012009","P |01|CT1200||12012009","P |01|CT1200||12012009","P |01|CT1200||12012009","P |01|CT1200||12012009","P |01|CT1200||12012","P |01|CT1200||1201","P |01|CT1200||12","P |01|CT1200||1","CONTA CORRENTE TOP X WAYUP SERVICOS     ","CONTA CORRENTE TOP X WAYUP SERVICOS     ","CONTA CORRENTE TOP X WAYUP SERVICOS     ","CONTA CORRENTE TOP X WAYUP SERVICOS     ","CONTA CORRENTE TOP X WAYUP SERVICOS     ","CONTA CORRENTE TOP X WAYUP SERVICOS     ","CONTA CORRENTE TOP X WAYUP SERVICOS     ","EMPRESTIMOS/MUTUOS                      ","ATIVO REALIZAVEL A LONGO PRAZO          ","ATIVO NAO CIRCULANTE                    ","ATIVO                                   ","12012009            ","12012009            ","12012009            ","12012009            ","12012009            ","12012009            ","12012009            ","12012               ","1201                ","12                  ","1                   ","P |01|AK5200||"
